data,squadraCasa,squadraOspite,risultato,pt1fatto,pt1mancato,pt2fatto,pt2mancato,pt3fatto,pt3mancato,assist,rimbalzi,stoppate,steal,minutigioco,trofeo,esito
2023-12-03,Olimpia Roma,Vis Aurelia,22-84,2,0,8,0,0,0,7,0,0,0,10,ASI Falchi Silver,W
2023-12-10,Vis Aurelia,Acilia Red Foxes,38-23,0,0,6,0,0,0,3,0,0,0,10,ASI Falchi Silver,W
2024-09-28,Vis Aurelia,Basket Roma,24-63,0,2,1,0,0,0,0,3,0,3,18,Amichevole,L
2024-09-29,Vis Aurelia,UISP 18,53-66,2,2,1,0,0,0,4,5,0,3,20,Amichevole,L
2024-10-05,Terracina,Vis Aurelia,18-31,0,2,3,1,0,0,2,5,0,3,17,Cisterna di Latina,W
2024-10-05,Vis Aurelia,Sant'Anna Morena,48-21,0,0,1,6,0,0,5,3,0,6,17,Cisterna di Latina,W
2024-10-05,Vis Aurelia,Cisterna Latina,23-34,0,0,2,3,0,0,1,4,0,2,17,Cisterna di Latina,L
2024-10-26,Vis Aurelia,Parco di Veio,44-57,1,5,3,2,0,0,2,3,0,5,22,Amichevole,L
2024-11-26,Basket Primavalle,Vis Aurelia,36-65,0,0,5,7,0,0,3,2,0,6,18,U13 Regionale,W
2024-11-30,Vis Aurelia,Polysportiva19,58-33,0,2,4,6,0,0,3,8,2,3,17,U13 Regionale,W
2024-12-07,Vis Aurelia,Romana Basket,86-21,0,0,8,8,0,0,3,3,0,4,10,U13 Regionale,W
2024-12-14,Parco di Veio,Vis Aurelia,72-49,2,0,4,3,0,0,1,3,0,2,19,U13 Regionale,L
2024-12-15,Vis Aurelia,Stella Azzurra,71-38,1,5,6,10,0,0,6,4,0,5,22,U13 Regionale,W
2024-12-22,Licaeum Basketball,Vis Aurelia,63-35,0,0,5,3,0,0,0,6,0,4,35,U13 Regionale,L
2025-01-18,Polysportiva19,Vis Aurelia,44-56,1,1,5,3,0,0,2,4,0,3,30,U13 Regionale,W
2025-01-26,Vis Aurelia,Basket Primavalle,59-25,1,1,5,6,0,0,2,5,1,2,22,U13 Regionale,W
2025-01-29,Romana Basket,Vis Aurelia,0-0,0,0,0,0,0,0,0,0,0,0,0,U13 Regionale,P
2025-02-09,Vis Aurelia,Parco di Veio,0-0,0,0,0,0,0,0,0,0,0,0,0,U13 Regionale,P
2025-02-15,Stella Azzurra,Vis Aurelia,0-0,0,0,0,0,0,0,0,0,0,0,0,U13 Regionale,P
2025-02-23,Vis Aurelia,Licaeum Basketball,0-0,0,0,0,0,0,0,0,0,0,0,0,U13 Regionale,P
